RANK,NAME,POSITION,G,AB,BB,H,HBP,SF,SH,PCT
140,Cortni Emanuel,OF,56,189,11,80,1,0,2,0.458
141,Sydney Canessa,OF,63,196,41,66,5,3,2,0.457
-,Riley Hale,OF,56,170,29,56,11,0,4,0.457
143,Sierra Altmeyer,1B,57,161,31,57,2,3,0,0.457
144,Mo Mercado,INF,61,182,20,72,2,2,1,0.456
-,Courtney Sutter,C,60,179,24,68,2,1,0,0.456
146,Shelby Maze,OF,61,213,13,90,1,1,5,0.456
147,Haley Hutton,SS,50,168,25,60,5,0,1,0.455
-,Jazz Vasquez,OF,44,114,13,44,3,2,4,0.455
-,Kassidy Zeringue,OF,55,134,18,50,2,0,5,0.455
150,Chandler Rice,2B,58,194,20,76,3,1,1,0.454
